initial_budget,dca_levels,first_level,level_step,num_levels,take_profit_percent,stop_loss_percent,roi,net_pnl,total_trades,win_rate,stop_loss_rate,avg_trade_pnl,avg_trade_duration_days,largest_loss,largest_profit,error
1000,"[-7, -11, -15]",-7,4,3,3,0,225.0,2250.0,147,100.0,0.0,15.31,7.62,10.0,30.0,
1000,"[-5, -9, -13]",-5,4,3,3,0,223.0,2230.0,141,100.0,0.0,15.82,9.89,10.0,30.0,
1000,"[-5, -9, -13, -17]",-5,4,4,6,0,216.0,2160.0,69,100.0,0.0,31.3,23.13,15.0,60.0,
1000,"[-5, -9, -13, -17]",-5,4,4,7,0,213.5,2135.0,56,100.0,0.0,38.13,27.83,17.5,70.0,
1000,"[-5, -10, -15]",-5,5,3,3,0,208.0,2080.0,138,100.0,0.0,15.07,10.05,10.0,30.0,
1000,"[-5, -8, -11, -14, -17]",-5,3,5,7,0,207.2,2072.0,57,100.0,0.0,36.35,27.29,14.0,70.0,
1000,"[-6, -10, -14, -18]",-6,4,4,7,0,204.75,2047.5,54,100.0,0.0,37.92,29.12,17.5,70.0,
1000,"[-5, -8, -11, -14, -17]",-5,3,5,6,0,204.0,2040.0,68,100.0,0.0,30.0,23.48,12.0,60.0,
1000,"[-7, -12, -17]",-7,5,3,7,0,203.0,2030.0,47,100.0,0.0,43.19,32.59,23.33,70.0,
1000,"[-5, -9, -13]",-5,4,3,5,0,201.6667,2016.67,69,100.0,0.0,29.23,22.05,16.67,50.0,
1000,"[-5, -8, -11, -14]",-5,3,4,3,0,200.25,2002.5,144,100.0,0.0,13.91,9.62,7.5,30.0,
1000,"[-6, -9, -12, -15, -18]",-6,3,5,7,0,200.2,2002.0,54,100.0,0.0,37.07,29.07,14.0,70.0,
1000,"[-6, -11, -16]",-6,5,3,6,0,200.0,2000.0,56,100.0,0.0,35.71,27.87,20.0,60.0,
1000,"[-5, -9, -13]",-5,4,3,7,0,198.3333,1983.33,45,100.0,0.0,44.07,34.94,23.33,70.0,
1000,"[-5, -9, -13, -17, -21]",-5,4,5,7,0,197.4,1974.0,59,100.0,0.0,33.46,27.05,14.0,70.0,
1000,"[-5, -8, -11, -14]",-5,3,4,4,0,197.0,1970.0,96,100.0,0.0,20.52,15.69,10.0,40.0,
1000,"[-5, -9, -13, -17]",-5,4,4,5,0,196.25,1962.5,80,100.0,0.0,24.53,19.5,12.5,50.0,
1000,"[-5, -10, -15]",-5,5,3,6,0,196.0,1960.0,58,100.0,0.0,33.79,26.74,20.0,60.0,
1000,"[-7, -11, -15]",-7,4,3,6,0,196.0,1960.0,50,100.0,0.0,39.2,30.33,20.0,60.0,
1000,"[-5, -10, -15]",-5,5,3,5,0,195.0,1950.0,71,100.0,0.0,27.46,22.32,16.67,50.0,
1000,"[-6, -10, -14]",-6,4,3,4,0,194.6667,1946.67,84,100.0,0.0,23.17,17.06,13.33,40.0,
1000,"[-5, -9, -13]",-5,4,3,6,0,194.0,1940.0,54,100.0,0.0,35.93,28.78,20.0,60.0,
1000,"[-5, -8, -11]",-5,3,3,7,0,193.6667,1936.67,42,100.0,0.0,46.11,36.0,23.33,70.0,
1000,"[-8, -12, -16]",-8,4,3,7,0,193.6667,1936.67,40,100.0,0.0,48.42,36.76,23.33,70.0,
1000,"[-5, -9, -13]",-5,4,3,4,0,193.3333,1933.33,85,100.0,0.0,22.75,18.09,13.33,40.0,
1000,"[-5, -10, -15]",-5,5,3,7,0,191.3333,1913.33,49,100.0,0.0,39.05,32.03,23.33,70.0,
1000,"[-6, -10, -14, -18, -22]",-6,4,5,7,0,190.4,1904.0,58,100.0,0.0,32.83,26.55,14.0,70.0,
1000,"[-5, -8, -11, -14, -17, -20]",-5,3,6,7,0,190.1667,1901.67,58,100.0,0.0,32.79,27.65,11.67,70.0,
1000,"[-5, -9, -13, -17]",-5,4,4,3,0,189.75,1897.5,150,100.0,0.0,12.65,8.99,7.5,30.0,
1000,"[-5, -9, -13, -17, -21]",-5,4,5,6,0,189.6,1896.0,71,100.0,0.0,26.7,22.03,12.0,60.0,
1000,"[-5, -10, -15, -20]",-5,5,4,7,0,189.0,1890.0,56,100.0,0.0,33.75,28.77,17.5,70.0,
1000,"[-6, -11, -16]",-6,5,3,7,0,189.0,1890.0,45,100.0,0.0,42.0,33.94,23.33,70.0,
1000,"[-7, -10, -13]",-7,3,3,4,0,188.0,1880.0,77,100.0,0.0,24.42,17.73,13.33,40.0,
