mode,initial_budget,dca_levels,first_level,level_step,num_levels,take_profit_percent,stop_loss_percent,roi,net_pnl,total_trades,win_rate,stop_loss_rate,avg_trade_pnl,avg_trade_duration_days,largest_loss,largest_profit,error
short,1000,"[8, 11, 14]",8,3,3,5,10,52.5724,525.72,343,31.78,73.18,1.53,0.88,-6.17,50.0,
short,1000,"[8, 11, 14]",8,3,3,4,10,51.2975,512.98,351,36.18,68.95,1.46,0.72,-6.17,40.0,
short,1000,"[8, 11, 14]",8,3,3,7,10,49.4592,494.59,327,25.99,80.12,1.51,1.13,-6.17,70.0,
short,1000,"[8, 11, 14, 17]",8,3,4,5,10,46.9079,469.08,343,31.78,73.18,1.37,0.88,-4.63,37.5,
short,1000,"[8, 11, 14, 17]",8,3,4,4,10,45.9518,459.52,351,36.18,68.95,1.31,0.72,-4.63,30.0,
short,1000,"[8, 11, 14, 17]",8,3,4,7,10,44.573,445.73,327,25.99,80.12,1.36,1.13,-4.63,52.5,
short,1000,"[8, 11, 14]",8,3,3,3,10,42.8857,428.86,359,41.5,63.23,1.19,0.49,-6.17,30.0,
short,1000,"[8, 11, 14]",8,3,3,6,10,42.8742,428.74,332,27.71,78.01,1.29,1.09,-6.17,60.0,
short,1000,"[8, 11, 14, 17, 20]",8,3,5,5,10,42.5263,425.26,343,31.78,73.18,1.24,0.88,-3.7,33.75,
short,1000,"[8, 12, 16]",8,4,3,4,10,42.0491,420.49,351,33.9,68.95,1.2,0.72,-6.17,26.67,
short,1000,"[8, 11, 14, 17, 20]",8,3,5,4,10,41.7614,417.61,351,36.18,68.95,1.19,0.72,-3.7,33.75,
short,1000,"[8, 12, 16]",8,4,3,5,10,41.2096,412.1,343,29.45,73.47,1.2,0.87,-6.17,33.33,
short,1000,"[8, 11, 14, 17, 20]",8,3,5,7,10,40.6584,406.58,327,25.99,80.12,1.24,1.13,-3.7,42.0,
short,1000,"[7, 11, 15]",7,4,3,3,10,40.5684,405.68,436,50.23,52.06,0.93,0.73,-9.35,20.0,
short,1000,"[8, 11, 14, 17]",8,3,4,3,10,39.6429,396.43,359,41.5,63.23,1.1,0.49,-4.63,22.5,
short,1000,"[8, 11, 14, 17]",8,3,4,6,10,39.6343,396.34,332,27.71,78.01,1.19,1.09,-4.63,45.0,
short,1000,"[8, 11, 14, 17, 20, 23]",8,3,6,5,10,38.9617,389.62,343,31.78,73.18,1.14,0.88,-3.09,45.74,
